domain_length,num_hyphens,entropy_domain,domain_age_days,expiration_days,is_suspicious_tld,Num_Digits,Contains_Brand_Keyword,Typosquat_Similarity,SSL_Cert_Age_Days
16,0,3.327819531114783,1624,932,0,0,0,0.667,-1
2,2,1.0,3320,331,0,0,0,0.25,60
5,4,2.321928094887362,0,0,0,0,0,0.6,-1
14,3,3.378783493486176,3223,63,0,0,0,0.625,33
7,8,2.5216406363433186,4581,897,0,0,0,0.4,33
10,0,3.321928094887362,3334,317,0,0,0,0.5,-1
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
17,0,3.381580488309164,0,0,0,0,0,0.6,13
19,0,3.4058222502856896,0,0,0,0,0,0.5,-1
2,1,1.0,0,0,0,1,0,0.286,-1
6,0,2.584962500721156,4641,471,0,0,0,0.364,30
23,0,3.795088586397733,0,0,0,0,0,0.667,-1
13,0,2.449311833026446,0,0,0,10,0,0.0,-1
11,0,2.913977073182752,4785,327,0,0,0,0.667,43
8,0,2.75,2546,375,0,0,0,0.667,56
11,1,2.845350936622437,7836,198,0,0,0,0.667,28
12,6,3.084962500721156,762,333,0,0,0,0.5,18
9,0,2.725480556997868,473,256,0,0,0,0.5,-1
7,0,2.521640636343318,4255,1953,0,0,0,0.533,27
7,0,2.5216406363433186,2634,287,0,0,0,0.6,0
20,1,3.6464393446710153,0,0,0,0,0,0.5,-1
14,0,3.3248629576173565,0,0,0,0,0,0.6,32
6,0,1.7924812503605778,11344,288,0,0,0,0.5,50
12,0,3.0220552088742005,4386,2553,0,0,0,0.4,68
4,0,2.0,0,0,0,0,0,0.5,74
9,0,2.94770277922009,10941,15,0,0,0,0.6,276
16,0,3.625,6017,191,0,0,0,0.667,40
8,0,2.75,5637,206,0,0,0,0.5,48
16,7,3.25,6513,60,0,0,0,0.5,31
22,0,3.204447960708351,5054,1155,0,0,0,0.667,121
4,0,2.0,3193,93,0,0,0,0.444,42
13,1,3.180832987205441,5050,63,0,0,0,0.667,-1
5,0,2.321928094887362,12850,981,0,0,0,0.5,58
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
5,0,2.321928094887362,4047,335,0,0,0,0.571,45
6,0,2.584962500721156,0,0,0,0,0,0.429,7
2,1,1.0,0,0,0,1,0,0.286,-1
9,2,2.94770277922009,4116,2458,0,0,0,0.5,14
9,1,2.94770277922009,0,0,1,0,0,0.5,-1
8,0,2.75,8831,299,0,0,0,0.6,13
5,0,2.321928094887362,10402,919,0,0,0,0.462,22
7,0,2.807354922057604,4433,679,0,0,0,0.6,40
15,0,3.006238928653389,4475,272,0,0,0,0.667,33
4,0,1.5,0,0,0,0,0,0.667,16
21,0,3.177566232096525,0,0,0,0,0,0.667,-1
11,1,3.277613436819116,9150,2537,0,0,0,0.556,-1
6,3,1.918295834054489,10302,1019,0,0,1,1.0,22
10,0,2.646439344671016,6081,127,0,0,0,0.538,54
7,1,2.5216406363433186,237,127,0,0,0,0.4,-1
4,0,2.0,4578,1265,0,0,0,0.444,54
11,0,2.913977073182752,4785,327,0,0,0,0.667,43
10,0,3.121928094887362,5443,35,0,0,0,0.667,12
6,0,1.918295834054489,10302,1019,0,0,1,1.0,22
9,0,2.94770277922009,4282,100,0,0,0,0.429,1
9,0,2.725480556997868,0,0,0,0,0,0.667,68
10,2,3.121928094887362,5822,21,0,0,0,0.667,-1
16,0,3.452819531114783,3994,2580,0,0,0,0.6,17
10,0,3.121928094887362,0,0,1,0,0,0.667,-1
15,0,3.506890595608519,42,322,0,0,0,0.667,5
10,0,3.121928094887362,9895,2887,0,0,0,0.444,11
8,2,3.0,9761,465,0,0,0,0.444,24
7,0,2.5216406363433186,7317,3274,0,0,0,0.4,27
10,0,3.321928094887362,7564,105,0,0,0,0.5,5
12,0,3.0220552088742005,4441,306,0,0,0,0.667,267
10,1,3.121928094887362,0,0,0,0,0,0.556,45
11,0,3.0957952550009344,3285,1462,0,0,0,0.667,6
12,8,2.8553885422075336,9394,101,0,0,0,0.5,22
14,0,3.3248629576173574,0,0,0,0,0,0.667,-1
